"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1913","Change Password-Less than 6 digits new passwords","SAVR","Sun Nov 17 20:03:32 GMT 2024","passed","Sun Nov 17 20:03:34 GMT 2024","Change Password","Auth","",""
"","1853","Password Reset","SAVR","Sun Nov 17 20:03:37 GMT 2024","passed","Sun Nov 17 20:03:39 GMT 2024","Forgot Password","Auth","",""
"","920","Savr CAC-Invalid/Expired Token","SAVR","Sun Nov 17 20:03:26 GMT 2024","passed","Sun Nov 17 20:03:27 GMT 2024","KYC Verification > CAC","Auth","",""
"","2004","savr_employee_Empty field","SAVR","Sun Nov 17 20:04:01 GMT 2024","passed","Sun Nov 17 20:04:03 GMT 2024","Employee Transaction History","Employee","",""
"","1916","savr_update_saving_amount - Inexisting Email","SAVR","Sun Nov 17 20:03:57 GMT 2024","passed","Sun Nov 17 20:03:59 GMT 2024","Update Employee Savinngs Amount","Employee","",""
"","2133","fund_savr_with_adminfloat_single","SAVR","Sun Nov 17 20:03:50 GMT 2024","passed","Sun Nov 17 20:03:52 GMT 2024","Fund Employee","Employee","",""
"","1693","Register-Existing Savr Email","SAVR","Sun Nov 17 20:02:02 GMT 2024","passed","Sun Nov 17 20:02:04 GMT 2024","Registration","Auth","",""
"","3797","BVN Validation-ExIsting BVN","SAVR","Sun Nov 17 20:02:48 GMT 2024","passed","Sun Nov 17 20:02:52 GMT 2024","KYC Verification > BVN","Auth","",""
"","2729","BVN Validation-Invalid BVN","SAVR","Sun Nov 17 20:02:52 GMT 2024","passed","Sun Nov 17 20:02:55 GMT 2024","KYC Verification > BVN","Auth","",""
"","1695","Login -Invalid Credentials","SAVR","Sun Nov 17 20:02:16 GMT 2024","passed","Sun Nov 17 20:02:18 GMT 2024","Login","Auth","",""
"","926","Register-Invalid Email","SAVR","Sun Nov 17 20:02:01 GMT 2024","passed","Sun Nov 17 20:02:02 GMT 2024","Registration","Auth","",""
"","914","Login -Empty fields","SAVR","Sun Nov 17 20:02:18 GMT 2024","passed","Sun Nov 17 20:02:19 GMT 2024","Login","Auth","",""
"","917","BVN Validation- Invalid/Expired Token","SAVR","Sun Nov 17 20:03:20 GMT 2024","passed","Sun Nov 17 20:03:21 GMT 2024","KYC Verification > BVN","Auth","",""
"","1915","BVN Validation-Empty Fields","SAVR","Sun Nov 17 20:03:17 GMT 2024","passed","Sun Nov 17 20:03:19 GMT 2024","KYC Verification > BVN","Auth","",""
"","1897","create_savr_employee - Empty fields","SAVR","Sun Nov 17 20:03:48 GMT 2024","passed","Sun Nov 17 20:03:50 GMT 2024","Add Employee","Employee","",""
"","920","Change Password-No Auth","SAVR","Sun Nov 17 20:03:36 GMT 2024","passed","Sun Nov 17 20:03:37 GMT 2024","Change Password","Auth","",""
"","2238","savr_employee_transactions","SAVR","Sun Nov 17 20:03:59 GMT 2024","passed","Sun Nov 17 20:04:01 GMT 2024","Employee Transaction History","Employee","",""
"","1894","Change Password-Empty Fields","SAVR","Sun Nov 17 20:03:34 GMT 2024","passed","Sun Nov 17 20:03:36 GMT 2024","Change Password","Auth","",""
"","2025","verifyNINAtRegistration-Existing NIN","SAVR","Sun Nov 17 20:02:21 GMT 2024","passed","Sun Nov 17 20:02:23 GMT 2024","KYC Verification > NIN","Auth","",""
"","1247","Password Reset-Inexisting Email","SAVR","Sun Nov 17 20:03:39 GMT 2024","passed","Sun Nov 17 20:03:40 GMT 2024","Forgot Password","Auth","",""
"","2696","BVN Validation-Incomplete NIN","SAVR","Sun Nov 17 20:02:55 GMT 2024","passed","Sun Nov 17 20:02:58 GMT 2024","KYC Verification > BVN","Auth","",""
"","1921","savr_update_saving_amount","SAVR","Sun Nov 17 20:03:52 GMT 2024","passed","Sun Nov 17 20:03:54 GMT 2024","Update Employee Savinngs Amount","Employee","",""
"","12223","verifyNINAtRegistration-Mismatch NIN&DOB","SAVR","Sun Nov 17 20:02:27 GMT 2024","passed","Sun Nov 17 20:02:39 GMT 2024","KYC Verification > NIN","Auth","",""
"","925","Savr CAC-No Auth","SAVR","Sun Nov 17 20:03:25 GMT 2024","passed","Sun Nov 17 20:03:26 GMT 2024","KYC Verification > CAC","Auth","",""
"","917","BVN Validation-No Auth","SAVR","Sun Nov 17 20:03:19 GMT 2024","passed","Sun Nov 17 20:03:20 GMT 2024","KYC Verification > BVN","Auth","",""
"","1926","Savr CAC Upload","SAVR","Sun Nov 17 20:03:21 GMT 2024","passed","Sun Nov 17 20:03:23 GMT 2024","KYC Verification > CAC","Auth","",""
"","8267","BVN Validation-Mismatch DOB","SAVR","Sun Nov 17 20:02:58 GMT 2024","passed","Sun Nov 17 20:03:06 GMT 2024","KYC Verification > BVN","Auth","",""
"","2040","verifyNINAtRegistration","SAVR","Sun Nov 17 20:02:19 GMT 2024","passed","Sun Nov 17 20:02:21 GMT 2024","KYC Verification > NIN","Auth","",""
"","1924","savr_update_saving_amount-Empty fields","SAVR","Sun Nov 17 20:03:54 GMT 2024","passed","Sun Nov 17 20:03:56 GMT 2024","Update Employee Savinngs Amount","Employee","",""
"","8371","BVN Validation-Valid BVN","SAVR","Sun Nov 17 20:02:40 GMT 2024","passed","Sun Nov 17 20:02:48 GMT 2024","KYC Verification > BVN","Auth","",""
"","1896","create_savr_employee - Existing Email","SAVR","Sun Nov 17 20:03:44 GMT 2024","passed","Sun Nov 17 20:03:46 GMT 2024","Add Employee","Employee","",""
"","920","savr_update_saving_amount-No Auth","SAVR","Sun Nov 17 20:03:56 GMT 2024","passed","Sun Nov 17 20:03:57 GMT 2024","Update Employee Savinngs Amount","Employee","",""
"","2009","savr_delete_employee-Inexisting Email","SAVR","Sun Nov 17 20:04:08 GMT 2024","passed","Sun Nov 17 20:04:10 GMT 2024","Delete Employee","Employee","",""
"","2020","savr_delete_employee-Empty fields","SAVR","Sun Nov 17 20:04:06 GMT 2024","passed","Sun Nov 17 20:04:08 GMT 2024","Delete Employee","Employee","",""
"","1920","Change Password-Incorrect old password","SAVR","Sun Nov 17 20:03:30 GMT 2024","passed","Sun Nov 17 20:03:32 GMT 2024","Change Password","Auth","",""
"","920","Login -Invalid Email","SAVR","Sun Nov 17 20:02:15 GMT 2024","passed","Sun Nov 17 20:02:16 GMT 2024","Login","Auth","",""
"","11188","BVN Validation-Mismatch last phone no digits","SAVR","Sun Nov 17 20:03:06 GMT 2024","passed","Sun Nov 17 20:03:17 GMT 2024","KYC Verification > BVN","Auth","",""
"","2008","savr_delete_employee","SAVR","Sun Nov 17 20:04:04 GMT 2024","passed","Sun Nov 17 20:04:06 GMT 2024","Delete Employee","Employee","",""
"","1937","Savr CAC Upload-Invalid CAC document","SAVR","Sun Nov 17 20:03:23 GMT 2024","passed","Sun Nov 17 20:03:25 GMT 2024","KYC Verification > CAC","Auth","",""
"","1933","Change Password","SAVR","Sun Nov 17 20:03:29 GMT 2024","passed","Sun Nov 17 20:03:30 GMT 2024","Change Password","Auth","",""
"","11897","Register","SAVR","Sun Nov 17 20:01:49 GMT 2024","passed","Sun Nov 17 20:02:01 GMT 2024","Registration","Auth","",""
"","8638","Login - Valid Email","SAVR","Sun Nov 17 20:02:07 GMT 2024","passed","Sun Nov 17 20:02:15 GMT 2024","Login","Auth","",""
"","1910","check_email","SAVR","Sun Nov 17 20:03:27 GMT 2024","passed","Sun Nov 17 20:03:29 GMT 2024","Check Email","Auth","",""
"","1930","savr_dashboard_summary","SAVR","Sun Nov 17 20:03:40 GMT 2024","failed","Sun Nov 17 20:03:42 GMT 2024","","Dashboard","",""
"","916","savr_employee_transactions-No Auth","SAVR","Sun Nov 17 20:04:03 GMT 2024","passed","Sun Nov 17 20:04:04 GMT 2024","Employee Transaction History","Employee","",""
"","923","verifyNINAtRegistration-No Auth","SAVR","Sun Nov 17 20:02:39 GMT 2024","passed","Sun Nov 17 20:02:40 GMT 2024","KYC Verification > NIN","Auth","",""
"","2046","Savr Registration (existing herconomy account)","SAVR","Sun Nov 17 20:02:05 GMT 2024","passed","Sun Nov 17 20:02:07 GMT 2024","Registration","Auth","",""
"","3998","verifyNINAtRegistration-Invalid NIN","SAVR","Sun Nov 17 20:02:23 GMT 2024","passed","Sun Nov 17 20:02:27 GMT 2024","KYC Verification > NIN","Auth","",""
"","915","Register-Empty Fields","SAVR","Sun Nov 17 20:02:04 GMT 2024","passed","Sun Nov 17 20:02:05 GMT 2024","Registration","Auth","",""
