"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 07 09:27:53 GMT 2024","Sat Sep 07 09:27:54 GMT 2024","922","SAVR","Auth","Login","","","Login -Empty fields",""
"failed","Sat Sep 07 09:28:02 GMT 2024","Sat Sep 07 09:28:02 GMT 2024","924","SAVR","Auth","KYC Verification > BVN","","","BVN Validation-Incomplete NIN",""
"passed","Sat Sep 07 09:27:44 GMT 2024","Sat Sep 07 09:27:45 GMT 2024","1680","SAVR","Auth","Registration","","","Register-Existing Savr Email",""
"failed","Sat Sep 07 09:28:08 GMT 2024","Sat Sep 07 09:28:09 GMT 2024","925","SAVR","Auth","KYC Verification > CAC","","","Savr CAC Upload-Empty Field",""
"failed","Sat Sep 07 09:28:00 GMT 2024","Sat Sep 07 09:28:01 GMT 2024","911","SAVR","Auth","KYC Verification > BVN","","","BVN Validation-ExIsting BVN",""
"failed","Sat Sep 07 09:28:14 GMT 2024","Sat Sep 07 09:28:14 GMT 2024","924","SAVR","Auth","Change Password","","","Change Password Copy",""
"failed","Sat Sep 07 09:28:09 GMT 2024","Sat Sep 07 09:28:10 GMT 2024","925","SAVR","Auth","KYC Verification > CAC","","","Savr CAC Upload-Invalid CAC document",""
"passed","Sat Sep 07 09:27:45 GMT 2024","Sat Sep 07 09:27:46 GMT 2024","925","SAVR","Auth","Registration","","","Register-Empty Fields",""
"failed","Sat Sep 07 09:27:55 GMT 2024","Sat Sep 07 09:27:56 GMT 2024","919","SAVR","Auth","KYC Verification > NIN","","","verifyNINAtRegistration-Existing NIN",""
"failed","Sat Sep 07 09:27:57 GMT 2024","Sat Sep 07 09:27:58 GMT 2024","924","SAVR","Auth","KYC Verification > NIN","","","verifyNINAtRegistration-Mismatch NIN&DOB",""
"passed","Sat Sep 07 09:28:25 GMT 2024","Sat Sep 07 09:28:25 GMT 2024","904","SAVR","Employee","Delete Employee","","","savr_delete_employee",""
"passed","Sat Sep 07 09:28:19 GMT 2024","Sat Sep 07 09:28:20 GMT 2024","912","SAVR","Auth","Forgot Password","","","Password Reset",""
"failed","Sat Sep 07 09:28:14 GMT 2024","Sat Sep 07 09:28:15 GMT 2024","919","SAVR","Auth","Change Password","","","Change Password-Same old and new password",""
"passed","Sat Sep 07 09:28:21 GMT 2024","Sat Sep 07 09:28:22 GMT 2024","906","SAVR","Employee","Add Emplyee","","","create_savr_employee",""
"passed","Sat Sep 07 09:28:12 GMT 2024","Sat Sep 07 09:28:13 GMT 2024","910","SAVR","Auth","Check Email","","","check_email",""
"failed","Sat Sep 07 09:28:02 GMT 2024","Sat Sep 07 09:28:03 GMT 2024","926","SAVR","Auth","KYC Verification > BVN","","","BVN Validation-Mismatch DOB",""
